"fdc_id","nutrient_id","amount"
"167635","1003","6.69"
"167635","1004","12.22"
"167635","1005","48.26"
"167635","1008","330"
"167636","1004","6.12"
"167636","1005","18.12"
"167636","1008","153"
"167636","1003","6.28"
"167637","1003","8.82"
"167637","1004","3.75"
"167637","1005","10.8"
"167637","1008","112"
"167638","1004","2.92"
"167638","1003","20.53"
"167638","1008","116"
"167638","1005","1.81"
"167639","1003","22.56"
"167639","1004","5.57"
"167639","1005","0"
"167639","1008","140"
"167640","1003","1.22"
"167640","1004","0.76"
"167640","1005","12.31"
"167640","1008","61"
"167641","1004","99.32"
"167641","1003","0"
"167641","1005","0"
"167641","1008","894"
"167642","1003","27.31"
"167642","1004","5.76"
"167642","1005","0"
"167642","1008","161"
"167643","1004","2.88"
"167643","1003","14.66"
"167643","1005","4.89"
"167643","1008","104"
"167644","1003","52.06"
"167644","1004","5.23"
"167644","1005","0"
"167644","1008","255"
"167645","1003","35.19"
"167645","1004","7.26"
"167645","1005","0"
"167645","1008","206"
"167646","1003","24.5"
"167646","1004","4.75"
"167646","1005","0"
"167646","1008","141"
"167647","1003","23.19"
"167647","1004","12.95"
"167647","1005","0"
"167647","1008","209"
"167648","1004","2.84"
"167648","1003","22.25"
"167648","1005","0"
"167648","1008","115"
"167649","1003","21.44"
"167649","1004","1.3"
"167649","1005","0"
"167649","1008","97"
"167650","1003","62.38"
"167650","1004","2.31"
"167650","1005","0"
"167650","1008","270"
"167651","1003","32.51"
"167651","1004","1.8"
"167651","1005","0"
"167651","1008","146"
"167652","1004","2.1"
"167652","1003","19.74"
"167652","1005","0"
"167652","1008","98"
"167653","1004","10.64"
"167653","1005","66.27"
"167653","1008","419"
"167653","1003","14.48"
"167654","1003","56.19"
"167654","1004","17.9"
"167654","1005","0"
"167654","1008","386"
"167655","1004","10.14"
"167655","1005","46.01"
"167655","1008","309"
"167655","1003","8.38"
"167656","1003","7.91"
"167656","1004","8.31"
"167656","1005","29.35"
"167656","1008","224"
"167657","1004","11.05"
"167657","1005","19.28"
"167657","1008","229"
"167657","1003","13.19"
"167658","1003","12.56"
"167658","1004","10.81"
"167658","1005","17.92"
"167658","1008","219"
"167659","1004","5.06"
"167659","1003","12.02"
"167659","1005","20.03"
"167659","1008","174"
"167660","1003","11.31"
"167660","1004","18.37"
"167660","1005","31.19"
"167660","1008","335"
"167661","1003","5.59"
"167661","1004","9.01"
"167661","1005","31.49"
"167661","1008","229"
"167662","1004","13.25"
"167662","1005","22.39"
"167662","1008","256"
"167662","1003","11.72"
"167663","1003","11.51"
"167663","1004","10.43"
"167663","1005","23.02"
"167663","1008","232"
"167664","1004","7.21"
"167664","1005","26.68"
"167664","1008","186"
"167664","1003","3.48"
"167665","1003","3.28"
"167665","1004","5.29"
"167665","1005","31.16"
"167665","1008","185"
"167666","1004","6.77"
"167666","1005","16.79"
"167666","1008","156"
"167666","1003","6.91"
"167667","1003","8.28"
"167667","1004","11.94"
"167667","1005","27.29"
"167667","1008","250"
"167668","1004","2.96"
"167668","1005","32.79"
"167668","1008","174"
"167668","1003","4.05"
"167669","1004","13.18"
"167669","1005","30.87"
"167669","1008","255"
"167669","1003","3.26"
"167670","1003","31.52"
"167670","1004","8.52"
"167670","1005","0"
"167670","1008","203"
