"fdc_id","nutrient_id","amount"
"746758","1008","176.0"
"746758","2047","168"
"746758","2048","176"
"746759","1008","155.0"
"746759","1003","22.8"
"746759","1005","0.0"
"746759","1004","6.39"
"746759","2047","149"
"746759","2048","155"
"746760","1003","23.4"
"746760","1005","0.0"
"746760","1008","122.0"
"746760","1004","2.48"
"746760","2047","116"
"746760","2048","122"
"746761","1003","23.7"
"746761","1004","2.41"
"746761","1008","123.0"
"746761","1005","0.0"
"746761","2047","116"
"746761","2048","123"
"746762","1008","145.0"
"746762","1005","0.0"
"746762","1003","22.7"
"746762","1004","5.32"
"746762","2047","139"
"746762","2048","145"
"746763","1008","219.0"
"746763","1003","27.3"
"746763","1005","0.0"
"746763","1004","11.4"
"746763","2047","212"
"746763","2048","219"
"746764","1004","0.47"
"746764","1008","37.0"
"746764","1005","7.92"
"746764","1003","0.81"
"746764","2047","39"
"746764","2048","37"
"746765","1005","2.07"
"746765","1004","24.3"
"746765","1003","24.5"
"746765","1008","326.0"
"746765","2047","325"
"746765","2048","326"
"746766","1004","11.0"
"746766","1008","157.0"
"746766","1005","6.86"
"746766","1003","7.81"
"746766","2047","158"
"746766","2048","157"
"746767","1003","27.0"
"746767","1004","31.0"
"746767","1008","393.0"
"746767","1005","1.44"
"746767","2047","393"
"746767","2048","393"
"746768","1004","0.92"
"746768","1005","63.9"
"746768","1008","249.0"
"746768","1003","3.3"
"746768","2047","277"
"746768","2048","249"
"746769","1003","1.24"
"746769","1004","0.26"
"746769","1005","3.24"
"746769","1008","17.0"
"746769","2047","20"
"746769","2048","17"
"746770","1003","0.82"
"746770","1008","34.0"
"746770","1004","0.18"
"746770","1005","8.16"
"746770","2047","38"
"746770","2048","34"
"746771","1005","11.8"
"746771","1003","0.91"
"746771","1008","47.0"
"746771","1004","0.15"
"746771","2047","52"
"746771","2048","47"
"746772","1008","43.0"
"746772","1003","3.38"
"746772","1005","5.18"
"746772","1004","0.95"
"746772","2047","43"
"746772","2048","43"
"746773","1003","0.38"
"746773","1004","0.16"
"746773","1008","57.0"
"746773","1005","15.1"
"746773","2047","63"
"746773","2048","57"
"746774","1008","260.0"
"746774","1005","25.5"
"746774","1003","8.88"
"746774","1004","13.6"
"746774","2047","260"
"746775","2047","0"
"746776","1005","4.92"
"746776","1008","34.0"
"746776","1003","3.43"
"746776","1004","0.08"
"746776","2047","34"
"746776","2048","34"
"746777","1005","6.74"
"746777","1003","1.44"
"746777","1004","0.19"
"746777","1008","29.0"
"746777","2047","34"
"746777","2048","29"
"746778","1004","1.9"
"746778","1003","3.36"
"746778","1005","4.9"
"746778","1008","50.0"
"746778","2047","50"
"746778","2048","50"
"746779","1003","13.3"
"746779","1008","328.0"
"746779","1005","3.37"
"746779","1004","28.7"
"746779","2047","341"
"746779","2048","346"
"746780","1005","2.15"
"746780","1008","322.0"
"746780","1003","18.2"
"746780","1004","26.2"
"746780","2047","317"
"746780","2048","322"
"746781","1008","346.0"
"746781","1004","28.1"
"746781","1005","2.63"
"746781","1003","19.3"
"746782","1003","3.27"
"746782","1008","60.0"
"746782","1005","4.63"
"746782","1004","3.2"
"746782","2047","61"
"746782","2048","60"
"746783","1004","10.4"
"746783","1005","0.93"
"746783","1008","169.0"
"746783","1003","16.7"
"746783","2047","164"
"746783","2048","169"
"746784","1008","385.0"
"746784","1003","0.0"
"746784","1004","0.32"
"746784","1005","99.6"
"746784","2047","401"
"746784","2048","385"
"746785","1004","11.6"
"746785","1003","27.1"
"746785","1008","220.0"
"746785","1005","0.0"
"746785","2047","213"
"746785","2048","220"
"746952","1008","121.0"
"746952","1005","2.36"
"746952","1003","19.6"
"746952","1004","3.68"
"746952","2047","121"
"746952","2048","126"
"747429","1008","375.0"
"747429","1004","31.1"
"747429","1003","17.5"
"747429","1005","6.35"
"747429","2047","375"
"747429","2048","373"
"747430","1004","1.04"
"747430","1003","25.5"
"747431","1004","1.16"
"747431","1003","21.3"
"747432","1004","0.86"
"747432","1003","23.3"
"747433","1003","25.6"
"747433","1004","1.12"
"747434","1003","26.8"
"747434","1004","1.14"
"747435","1004","1.28"
"747435","1003","24.6"
"747436","1004","1.44"
"747436","1003","25.2"
"747437","1004","1.23"
"747437","1003","24.4"
"747438","1003","25.0"
"747438","1004","1.03"
"747439","1003","23.4"
"747439","1004","1.2"
"747440","1004","1.31"
"747440","1003","25.9"
"747441","1003","24.1"
"747441","1004","1.51"
"747442","1004","1.32"
"747442","1003","24.5"
"747443","1004","1.28"
"747443","1003","23.5"
"747444","1003","24.4"
"747444","1004","1.45"
"747445","1004","1.24"
"747445","1003","23.7"
"747446","1003","24.7"
"747446","1004","1.24"
"747447","1005","6.27"
"747447","1004","0.34"
"747447","1008","31.0"
"747447","1003","2.57"
"747447","2047","39"
"747447","2048","32"
"747448","1004","0.22"
"747448","1008","31.0"
"747448","1005","7.63"
"747448","1003","0.64"
"747448","2047","35"
"747448","2048","31"
"747693","1005","26.8"
"747693","1003","1.11"
"747693","1008","117.0"
"747693","1004","0.55"
"747693","2047","117"
"747693","2048","103"
"747997","1008","55.0"
"747997","1005","2.36"
"747997","1003","10.7"
"747997","1004","0.0"
"747997","2047","52"
"747997","2048","55"
"748236","1003","16.2"
"748236","1005","1.02"
"748236","1008","334.0"
"748236","1004","28.8"
"748236","2047","328"
"748236","2048","334"
"748967","1005","0.96"
"748967","1004","9.96"
"748967","1003","12.4"
"748967","1008","148.0"
"748967","2047","143"
"748967","2048","147"
"749420","1005","2.1"
"749420","1008","500.0"
"749420","1003","40.9"
"749420","1004","36.5"
"749420","2047","501"
"749420","2048","512"
"789828","1004","81.5"
"789890","1005","77.3"
"789890","1008","366.0"
"789890","1003","10.9"
"789890","1004","1.48"
"789890","2047","366"
"789890","2048","375"
"789951","1003","13.1"
"789951","1005","73.2"
"789951","1004","1.48"
"789951","1008","358.0"
"789951","2047","359"
"789951","2048","367"
"790018","1008","362.0"
"790018","1004","1.7"
"790018","1003","12.0"
"790018","1005","74.6"
"790018","2047","362"
"790018","2048","370"
"790085","1008","370.0"
"790085","1005","71.2"
"790085","1004","2.73"
"790085","1003","15.1"
"790085","2047","370"
"790085","2048","346"
"790146","1004","1.65"
"790146","1003","14.3"
"790146","1008","363.0"
"790146","1005","72.8"
"790146","2047","363"
"790146","2048","372"
"790214","1004","1.3"
"790214","1005","79.8"
"790214","1008","359.0"
"790214","1003","6.94"
"790214","2047","359"
"790214","2048","369"
"790276","1003","6.2"
"790276","1008","364.0"
"790276","1005","80.8"
"790276","1004","1.74"
"790276","2047","364"
"790276","2048","372"
"790508","1004","82.2"
"790577","1008","44.0"
"790577","1005","9.93"
"790577","1004","0.1"
"790577","1003","0.94"
"790577","2047","44"
"790577","2048","42"
"790646","1004","0.05"
"790646","1003","0.83"
"790646","1008","38.0"
"790646","1005","8.61"
"790646","2047","38"
"790646","2048","36"
"790774","1005","20.1"
"790774","1003","0.73"
"790774","1008","85.0"
"790774","1004","0.22"
