"fdc_id","nutrient_id","amount"
"2705528","204","3.53"
"2705528","205","6.99"
"2705528","203","1.4"
"2705528","208","65"
"2705529","204","3.53"
"2705529","203","1.4"
"2705529","208","65"
"2705529","205","6.99"
"2705530","204","3.48"
"2705530","208","65"
"2705530","205","6.9"
"2705530","203","1.38"
"2705531","208","65"
"2705531","204","3.48"
"2705531","205","6.9"
"2705531","203","1.38"
"2705532","204","3.11"
"2705532","203","1.73"
"2705532","208","58"
"2705532","205","5.87"
"2705533","208","66"
"2705533","204","3.49"
"2705533","205","7.36"
"2705533","203","1.43"
"2705534","204","3.49"
"2705534","208","66"
"2705534","203","1.4"
"2705534","205","7.38"
"2705535","204","3.49"
"2705535","203","1.4"
"2705535","205","7.38"
"2705535","208","66"
"2705536","203","1.4"
"2705536","205","7.38"
"2705536","204","3.49"
"2705536","208","66"
"2705537","205","7.38"
"2705537","203","1.4"
"2705537","204","3.49"
"2705537","208","66"
"2705538","205","7.43"
"2705538","204","3.24"
"2705538","208","65"
"2705538","203","1.6"
"2705539","204","3.24"
"2705539","205","7.43"
"2705539","208","65"
"2705539","203","1.6"
"2705540","208","67"
"2705540","205","7.31"
"2705540","203","1.51"
"2705540","204","3.49"
"2705541","205","7.31"
"2705541","208","67"
"2705541","203","1.51"
"2705541","204","3.49"
"2705542","205","7.31"
"2705542","208","67"
"2705542","203","1.51"
"2705542","204","3.49"
"2705543","204","3.49"
"2705543","203","1.51"
"2705543","208","67"
"2705543","205","7.31"
"2705544","208","67"
"2705544","205","7"
"2705544","204","3.52"
"2705544","203","1.7"
"2705545","203","2.86"
"2705545","208","99"
"2705545","204","4.77"
"2705545","205","11.15"
"2705546","208","62"
"2705546","205","6.43"
"2705546","203","1.72"
"2705546","204","3.32"
"2705547","208","62"
"2705547","204","3.32"
"2705547","205","6.43"
"2705547","203","1.72"
"2705548","204","4.77"
"2705548","203","2.86"
"2705548","205","11.15"
"2705548","208","99"
"2705549","204","3.33"
"2705549","205","7.26"
"2705549","203","1.49"
"2705549","208","65"
"2705550","205","7.3"
"2705550","203","1.45"
"2705550","204","3.34"
"2705550","208","66"
"2705551","205","7.3"
"2705551","204","3.34"
"2705551","208","66"
"2705551","203","1.45"
"2705552","205","7.3"
"2705552","204","3.34"
"2705552","203","1.45"
"2705552","208","66"
"2705553","203","1.45"
"2705553","208","66"
"2705553","204","3.34"
"2705553","205","7.3"
"2705554","208","66"
"2705554","205","7.3"
"2705554","204","3.34"
"2705554","203","1.45"
"2705555","204","3.32"
"2705555","208","62"
"2705555","205","6.43"
"2705555","203","1.72"
"2705556","205","7.34"
"2705556","203","1.96"
"2705556","208","71"
"2705556","204","3.78"
"2705557","204","3.78"
"2705557","203","1.96"
"2705557","205","7.34"
"2705557","208","71"
"2705558","205","7.12"
"2705558","203","1.38"
"2705558","204","3.56"
"2705558","208","66"
"2705559","203","1.38"
"2705559","208","66"
"2705559","204","3.56"
"2705559","205","7.12"
"2705560","208","66"
"2705560","205","7.12"
"2705560","204","3.56"
"2705560","203","1.38"
"2705561","205","7.12"
"2705561","208","66"
"2705561","204","3.56"
"2705561","203","1.38"
"2705562","203","1.38"
"2705562","208","66"
"2705562","205","7.12"
"2705562","204","3.56"
"2705563","208","66"
"2705563","203","1.46"
"2705563","205","7.15"
"2705563","204","3.51"
"2705564","208","65"
"2705564","205","7.17"
"2705564","204","3.36"
"2705564","203","1.49"
"2705565","204","3.49"
"2705565","203","1.64"
"2705565","205","7.07"
"2705565","208","66"
"2705566","205","7.07"
"2705566","208","66"
"2705566","203","1.64"
"2705566","204","3.49"
"2705567","204","3.49"
"2705567","205","7.07"
"2705567","203","1.64"
"2705567","208","66"
"2705568","203","1.64"
"2705568","205","7.07"
"2705568","208","66"
"2705568","204","3.49"
"2705569","204","3.53"
"2705569","205","6.73"
"2705569","208","65"
"2705569","203","1.58"
"2705570","203","1.58"
"2705570","204","3.53"
"2705570","205","6.73"
"2705570","208","65"
"2705571","205","6.73"
"2705571","208","65"
"2705571","203","1.58"
"2705571","204","3.53"
"2705572","205","6.73"
"2705572","208","65"
"2705572","203","1.58"
"2705572","204","3.53"
"2705573","203","1.76"
"2705573","205","6.67"
"2705573","208","66"
"2705573","204","3.6"
"2705574","208","64"
"2705574","204","3.28"
"2705574","205","7.12"
"2705574","203","1.6"
"2705575","208","64"
"2705575","203","1.6"
"2705575","204","3.28"
"2705575","205","7.12"
"2705576","203","1.6"
"2705576","208","64"
"2705576","205","7.12"
"2705576","204","3.28"
"2705577","203","1.6"
"2705577","205","7.12"
"2705577","204","3.28"
"2705577","208","64"
"2705578","204","3.51"
"2705578","203","1.61"
"2705578","205","6.9"
"2705578","208","66"
"2705579","208","67"
"2705579","203","1.82"
"2705579","204","3.49"
"2705579","205","6.94"
"2705580","203","1.82"
"2705580","204","3.49"
"2705580","205","6.94"
"2705580","208","67"
"2705581","205","6.76"
"2705581","203","1.81"
"2705581","204","3.62"
"2705581","208","67"
"2705582","205","6.76"
"2705582","203","1.81"
"2705582","208","67"
"2705582","204","3.62"
"2705583","205","7.21"
"2705583","208","66"
"2705583","203","1.8"
"2705583","204","3.36"
"2705584","208","66"
"2705584","203","1.43"
"2705584","204","3.6"
"2705584","205","6.9"
"2705585","204","0.77"
"2705585","203","36.16"
"2705585","208","362"
"2705585","205","51.98"
"2705586","208","353"
"2705586","204","1.07"
"2705586","203","12.93"
"2705586","205","74.46"
"2705587","204","13.7"
"2705587","203","19.6"
"2705587","208","228"
"2705587","205","57.9"
"2705588","204","2.27"
"2705588","203","4.55"
"2705588","208","400"
"2705588","205","90.28"
"2705589","204","4.5"
"2705589","203","9.09"
"2705589","205","68.31"
"2705589","208","350"
"2705590","204","0"
"2705590","203","0"
"2705590","205","92.96"
"2705590","208","372"
"2705591","204","0.2"
"2705591","203","0.1"
"2705591","208","389"
"2705591","205","99.1"
"2705592","205","4.3"
"2705592","208","131"
"2705592","203","3.13"
"2705592","204","11.5"
"2705593","208","195"
"2705593","205","3.66"
"2705593","204","19.1"
"2705593","203","2.96"
"2705594","203","3.13"
"2705594","208","131"
"2705594","204","11.5"
"2705594","205","4.3"
"2705595","208","130"
"2705595","204","11.28"
"2705595","205","4.5"
"2705595","203","3.07"
"2705596","203","2.6"
"2705596","208","59"
"2705596","204","1.4"
"2705596","205","9"
"2705597","204","35.56"
"2705597","205","3.8"
"2705597","208","343"
"2705597","203","2.02"
"2705598","204","33.45"
"2705598","208","346"
"2705598","205","9.49"
"2705598","203","1.9"
"2705599","208","136"
"2705599","204","9.97"
"2705599","205","11.38"
"2705599","203","1"
"2705600","208","136"
"2705600","205","11.38"
"2705600","203","1"
"2705600","204","9.97"
"2705601","208","251"
"2705601","205","35.07"
"2705601","203","0.69"
"2705601","204","13.5"
"2705602","204","3.5"
"2705602","205","9.1"
"2705602","203","0.8"
"2705602","208","71"
"2705603","205","31.72"
"2705603","208","154"
"2705603","203","0.6"
"2705603","204","2.7"
"2705604","208","71"
"2705604","205","9.1"
"2705604","203","0.8"
"2705604","204","3.5"
"2705605","204","3.5"
"2705605","208","71"
"2705605","203","0.8"
"2705605","205","9.1"
"2705606","203","2.48"
"2705606","208","529"
"2705606","204","32.92"
"2705606","205","59.29"
"2705607","208","482"
"2705607","204","21.47"
"2705607","203","0.68"
"2705607","205","75.42"
"2705608","204","15.7"
"2705608","203","1.9"
"2705608","205","73.4"
"2705608","208","431"
"2705609","208","529"
"2705609","205","59.29"
"2705609","204","32.92"
"2705609","203","2.48"
"2705610","208","136"
"2705610","204","9.97"
"2705610","203","1"
"2705610","205","11.38"
"2705611","203","1.25"
"2705611","208","318"
"2705611","204","25.31"
"2705611","205","23.05"
"2705612","204","13.1"
"2705612","205","23.6"
"2705612","203","3"
"2705612","208","224"
"2705613","204","13.1"
"2705613","208","224"
"2705613","205","23.6"
"2705613","203","3"
"2705614","204","17.99"
"2705614","205","5.56"
"2705614","208","196"
"2705614","203","3.07"
"2705615","204","10.6"
"2705615","205","7.1"
"2705615","203","3.5"
"2705615","208","136"
"2705616","208","74"
"2705616","204","0"
"2705616","203","3.1"
"2705616","205","15.6"
"2705617","205","6.63"
"2705617","204","19.52"
"2705617","208","208"
"2705617","203","2.4"
"2705618","208","432"
"2705618","203","2.55"
"2705618","204","45.18"
"2705618","205","3.94"
"2705619","204","45.08"
"2705619","203","1.99"
"2705619","208","426"
"2705619","205","3.15"
"2705620","204","15.15"
"2705620","208","195"
"2705620","205","13.2"
"2705620","203","1.82"
"2705621","204","35.77"
"2705621","208","346"
"2705621","203","2.15"
"2705621","205","3.92"
"2705622","208","166"
"2705622","205","11.87"
"2705622","204","12.36"
"2705622","203","2"
"2705623","203","2.55"
"2705623","208","432"
"2705623","204","45.18"
"2705623","205","3.94"
"2705624","208","201"
"2705624","203","2.35"
"2705624","205","13.95"
"2705624","204","15.25"
"2705625","205","3.44"
"2705625","208","345"
"2705625","203","2.35"
"2705625","204","35.83"
"2705626","208","165"
"2705626","203","2.2"
"2705626","204","12.41"
"2705626","205","11.42"
"2705627","203","2.23"
"2705627","204","45.12"
"2705627","205","3.57"
"2705627","208","429"
"2705628","203","2.04"
"2705628","205","13.6"
"2705628","208","198"
"2705628","204","15.19"
"2705629","203","3.57"
"2705629","208","221"
"2705629","204","11.3"
"2705629","205","26.36"
"2705630","203","3.5"
"2705630","204","11"
"2705630","205","23.6"
"2705630","208","207"
"2705631","204","11.76"
"2705631","205","30.51"
"2705631","208","242"
"2705631","203","3.67"
"2705632","205","28.2"
"2705632","204","11"
"2705632","208","216"
"2705632","203","3.8"
"2705633","203","3.93"
"2705633","204","11.76"
"2705633","208","249"
"2705633","205","34.39"
"2705634","205","29.46"
"2705634","203","4.78"
"2705634","204","4.83"
"2705634","208","180"
"2705635","205","25.7"
"2705635","208","187"
"2705635","204","7.19"
"2705635","203","5"
"2705636","205","22.29"
"2705636","203","3.5"
"2705636","208","249"
"2705636","204","16.2"
"2705637","204","16.98"
"2705637","208","251"
"2705637","203","4.72"
"2705637","205","19.78"
"2705638","205","37.12"
"2705638","208","358"
"2705638","204","25.26"
"2705638","203","2.11"
"2705639","204","24.1"
"2705639","203","4.1"
"2705639","205","24.5"
"2705639","208","331"
"2705640","205","30.9"
"2705640","204","20.2"
"2705640","208","323"
"2705640","203","4.4"
"2705641","203","4.41"
"2705641","204","23.89"
"2705641","205","25.17"
"2705641","208","329"
"2705642","208","264"
"2705642","205","35.88"
"2705642","204","11.8"
"2705642","203","4.28"
"2705643","203","4.5"
"2705643","208","270"
"2705643","204","11.8"
"2705643","205","39.33"
"2705644","205","43.35"
"2705644","204","14.11"
"2705644","208","317"
"2705644","203","4.61"
"2705645","208","215"
"2705645","204","10.84"
"2705645","205","25.82"
"2705645","203","3.68"
"2705646","208","218"
"2705646","204","10.58"
"2705646","205","27.16"
"2705646","203","3.76"
"2705647","203","3.75"
"2705647","208","229"
"2705647","204","11.13"
"2705647","205","28.47"
"2705648","203","3.97"
"2705648","204","10.84"
"2705648","208","224"
"2705648","205","30.23"
"2705649","203","4.04"
"2705649","205","31.49"
"2705649","208","227"
"2705649","204","10.58"
"2705650","205","31.44"
"2705650","208","189"
"2705650","204","4.91"
"2705650","203","4.91"
"2705651","203","5.12"
"2705651","205","27.83"
"2705651","204","7.18"
"2705651","208","196"
"2705652","203","4.96"
"2705652","204","4.77"
"2705652","205","32.67"
"2705652","208","193"
"2705653","204","6.99"
"2705653","208","200"
"2705653","203","5.17"
"2705653","205","29.14"
"2705654","203","5.21"
"2705654","205","34.38"
"2705654","208","354"
"2705654","204","21.88"
"2705655","208","353"
"2705655","204","21.8"
"2705655","203","5.35"
"2705655","205","34.62"
"2705656","203","0.92"
"2705656","205","14.02"
"2705656","204","2.9"
"2705656","208","85"
"2705657","203","1"
"2705657","204","2.9"
"2705657","205","15.23"
"2705657","208","87"
"2705658","203","3.7"
"2705658","204","11.16"
"2705658","205","31.94"
"2705658","208","243"
"2705659","204","9.2"
"2705659","208","221"
"2705659","205","32.7"
"2705659","203","2.72"
"2705660","203","2.42"
"2705660","204","6.88"
"2705660","208","199"
"2705660","205","32.59"
"2705661","205","31.94"
"2705661","208","243"
"2705661","204","11.16"
"2705661","203","3.7"
"2705662","205","30.63"
"2705662","203","2.95"
"2705662","208","213"
"2705662","204","9.18"
"2705663","208","282"
"2705663","205","32.77"
"2705663","204","15.16"
"2705663","203","3.94"
"2705664","205","25.44"
"2705664","208","174"
"2705664","203","4.38"
"2705664","204","6.14"
"2705665","208","174"
"2705665","203","4.38"
"2705665","204","6.14"
"2705665","205","25.44"
"2705666","203","4.27"
"2705666","205","26.24"
"2705666","204","6.46"
"2705666","208","180"
"2705667","203","4"
"2705667","208","176"
"2705667","204","6.06"
"2705667","205","26.18"
"2705668","208","239"
"2705668","203","4.93"
"2705668","205","37.26"
"2705668","204","8.15"
"2705669","208","243"
"2705669","203","4.85"
"2705669","204","8.4"
"2705669","205","37.86"
"2705670","205","18.76"
"2705670","203","3.23"
"2705670","204","16.65"
"2705670","208","236"
"2705671","204","16.62"
"2705671","205","19.15"
"2705671","203","3.39"
"2705671","208","236"
"2705672","203","3.31"
"2705672","204","16.86"
"2705672","208","240"
"2705672","205","19.74"
"2705673","203","1.54"
"2705673","205","32.75"
"2705673","204","3.08"
"2705673","208","165"
"2705674","204","3.67"
"2705674","205","29.99"
"2705674","208","163"
"2705674","203","2.56"
"2705675","203","5.41"
"2705675","208","223"
"2705675","205","34.23"
"2705675","204","7.3"
"2705676","203","5.32"
"2705676","205","34.87"
"2705676","208","227"
"2705676","204","7.56"
"2705677","203","1.1"
"2705677","208","144"
"2705677","204","2"
"2705677","205","30.4"
"2705678","203","3.67"
"2705678","204","1.87"
"2705678","208","124"
"2705678","205","23.11"
"2705679","203","2.09"
"2705679","204","4.6"
"2705679","208","142"
"2705679","205","23.01"
"2705680","203","5.6"
"2705680","208","156"
"2705680","205","23.53"
"2705680","204","4.86"
"2705681","203","1.45"
"2705681","205","22.6"
"2705681","208","130"
"2705681","204","3.78"
"2705682","204","3.64"
"2705682","205","10.97"
"2705682","203","5.08"
"2705682","208","97"
